BARCODE	FORWARD	REVERSE	SAMPLE ID	PROCESSING DATE	PIPELINE	GENOME	MASKING
1000	WL1175_S7_L001_R1_001.fastq.gz	WL1175_S7_L001_R2_001.fastq.gz	WL1175_S7_L001	06-06-2020 21:10:12 NZST	Resistance V0.01a	H37Rv	NO
1001	WX3361_S1_L001_R1_001.fastq.gz	WX3361_S1_L001_R2_001.fastq.gz	WX3361_S1_L001	06-06-2020 21:10:12 NZST	Resistance V0.01a	H37Rv	NO
1002	RA3027_S8_L001_R1_001.fastq.gz	RA3027_S8_L001_R2_001.fastq.gz	RA3027_S8_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1003	XH5093_S3_L001_R1_001.fastq.gz	XH5093_S3_L001_R2_001.fastq.gz	XH5093_S3_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1004	JS4086_S12_L001_R1_001.fastq.gz	JS4086_S12_L001_R2_001.fastq.gz	JS4086_S12_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1005	RK6853_S6_L001_R1_001.fastq.gz	RK6853_S6_L001_R2_001.fastq.gz	RK6853_S6_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1006	FJ3834_S11_L001_R1_001.fastq.gz	FJ3834_S11_L001_R2_001.fastq.gz	FJ3834_S11_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1007	WX2138_S4_L001_R1_001.fastq.gz	WX2138_S4_L001_R2_001.fastq.gz	WX2138_S4_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1008	VC6638_S10_L001_R1_001.fastq.gz	VC6638_S10_L001_R2_001.fastq.gz	VC6638_S10_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1009	FZ2318_S2_L001_R1_001.fastq.gz	FZ2318_S2_L001_R2_001.fastq.gz	FZ2318_S2_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
1010	SY8799_S9_L001_R1_001.fastq.gz	SY8799_S9_L001_R2_001.fastq.gz	SY8799_S9_L001	06-06-2020 21:10:13 NZST	Resistance V0.01a	H37Rv	NO
